scenario,block_position,missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
block_end,end,0.70,knn_upgraded,5.330024,6.124961,0.207288,706,706
block_end,end,0.70,decision_tree,5.415790,6.223316,0.181625,706,706
block_end,end,0.70,random_forest,5.336460,6.123521,0.207661,706,706
block_end,end,0.70,neural_net,5.230839,6.047732,0.227152,706,706
block_end,end,0.70,adaptive_imputation,5.225256,6.053986,0.225553,706,706
block_end,end,0.80,forward_fill,5.591824,7.809532,-0.375868,806,806
block_end,end,0.80,linear_interpolation,4.482815,5.489751,0.320120,806,806
block_end,end,0.80,time_interpolation,4.482815,5.489751,0.320120,806,806
block_end,end,0.80,cubic_interpolation,4.047223,5.752350,0.253521,806,806
block_end,end,0.80,spline_interpolation,4.492040,6.491361,0.049399,806,806
block_end,end,0.80,moving_average,5.542148,7.787119,-0.367982,806,806
block_end,end,0.80,knn,4.482815,5.489751,0.320120,806,806
block_end,end,0.80,knn_upgraded,4.659817,5.525142,0.311326,806,806
block_end,end,0.80,decision_tree,4.476577,5.495057,0.318806,806,806
block_end,end,0.80,random_forest,4.664357,5.490031,0.320051,806,806
block_end,end,0.80,neural_net,4.327978,5.204145,0.389022,806,806
block_end,end,0.80,adaptive_imputation,4.047223,5.752350,0.253521,806,806
