scenario,block_position,missing_rate,method,mae,rmse,r2
block,none,0.60,time_interpolation,0.610821,0.702896,0.612782
block,none,0.60,cubic_interpolation,1.805293,2.267963,-3.031298
block,none,0.60,spline_interpolation,1.805293,2.267963,-3.031298
block,none,0.60,knn,2.501514,3.003438,-6.069855
block,none,0.60,decision_tree,1.881214,2.134039,-2.569257
block,none,0.60,random_forest,2.720517,2.940648,-5.777338
block,none,0.70,forward_fill,2.623861,2.879136,-4.425442
block,none,0.70,linear_interpolation,0.771952,0.878124,0.495312
block,none,0.70,time_interpolation,0.771952,0.878124,0.495312
block,none,0.70,cubic_interpolation,1.774478,2.054434,-1.762454
block,none,0.70,spline_interpolation,1.774478,2.054434,-1.762454
block,none,0.70,knn,2.348707,2.905552,-4.525453
block,none,0.70,decision_tree,1.384455,1.683571,-0.855127
block,none,0.70,random_forest,2.694550,2.949413,-4.693532
block,none,0.80,forward_fill,2.575696,2.904890,-1.046118
block,none,0.80,linear_interpolation,0.670461,0.927421,0.791443
block,none,0.80,time_interpolation,0.670461,0.927421,0.791443
block,none,0.80,cubic_interpolation,1.828461,2.200969,-0.174625
block,none,0.80,spline_interpolation,1.828572,2.201069,-0.174731
block,none,0.80,knn,1.946805,2.330664,-0.317136
block,none,0.80,decision_tree,2.856043,3.461274,-1.904980
block,none,0.80,random_forest,2.575696,2.904890,-1.046118
block_start,start,0.10,forward_fill,0.786552,0.889194,-1.963635
block_start,start,0.10,linear_interpolation,0.221207,0.286968,0.691326
block_start,start,0.10,time_interpolation,0.221207,0.286968,0.691326
block_start,start,0.10,cubic_interpolation,0.480590,0.550720,-0.136827
block_start,start,0.10,spline_interpolation,0.536873,0.608520,-0.387975
block_start,start,0.10,knn,3.656018,3.954634,-57.619847
block_start,start,0.10,decision_tree,0.711034,0.811073,-1.465764
block_start,start,0.10,random_forest,0.494712,0.589221,-0.301332
block_start,start,0.20,forward_fill,0.809655,0.959244,-0.725779
block_start,start,0.20,linear_interpolation,1.133472,1.318881,-2.262412
block_start,start,0.20,time_interpolation,1.133472,1.318881,-2.262412
block_start,start,0.20,cubic_interpolation,1.033110,1.209252,-1.742593
block_start,start,0.20,spline_interpolation,0.931054,1.095394,-1.250442
block_start,start,0.20,knn,4.012587,4.160657,-31.467675
block_start,start,0.20,decision_tree,1.474598,1.682885,-4.311736
block_start,start,0.20,random_forest,1.016144,1.193357,-1.670966
block_start,start,0.30,forward_fill,1.005698,1.182391,-0.001152
block_start,start,0.30,linear_interpolation,1.115543,1.345496,-0.296412
block_start,start,0.30,time_interpolation,1.115543,1.345496,-0.296412
block_start,start,0.30,cubic_interpolation,1.112531,1.358855,-0.322284
block_start,start,0.30,spline_interpolation,0.971258,1.194274,-0.021377
block_start,start,0.30,knn,3.712749,3.908118,-9.937387
block_start,start,0.30,decision_tree,1.634845,1.891201,-1.561258
block_start,start,0.30,random_forest,1.225533,1.452118,-0.510017
block_start,start,0.40,forward_fill,1.438609,1.710693,-0.212760
block_start,start,0.40,linear_interpolation,0.876330,1.188737,0.414398
block_start,start,0.40,time_interpolation,0.876330,1.188737,0.414398
block_start,start,0.40,cubic_interpolation,1.944027,2.161361,-0.935910
block_start,start,0.40,spline_interpolation,2.289966,2.557596,-1.710781
block_start,start,0.40,knn,3.464682,3.650834,-4.523508
block_start,start,0.40,decision_tree,1.695391,2.051598,-0.744276
block_start,start,0.40,random_forest,1.535619,1.761078,-0.285251
block_start,start,0.50,forward_fill,1.825556,2.150200,-0.509108
block_start,start,0.50,linear_interpolation,0.773673,1.008189,0.668223
block_start,start,0.50,time_interpolation,0.773673,1.008189,0.668223
block_start,start,0.50,cubic_interpolation,1.043958,1.325014,0.426935
block_start,start,0.50,spline_interpolation,1.121923,1.411519,0.349667
block_start,start,0.50,knn,2.959162,3.304451,-2.564193
block_start,start,0.50,decision_tree,1.636991,2.009812,-0.318479
block_start,start,0.50,random_forest,1.699807,1.879743,-0.153346
block_start,start,0.60,forward_fill,2.110694,2.437138,-0.810601
block_start,start,0.60,linear_interpolation,0.915790,1.045103,0.667049
block_start,start,0.60,time_interpolation,0.915790,1.045103,0.667049
block_start,start,0.60,cubic_interpolation,2.457923,2.860222,-1.493802
block_start,start,0.60,spline_interpolation,3.085711,3.679453,-3.126948
block_start,start,0.60,knn,2.471959,2.907756,-1.577379
block_start,start,0.60,decision_tree,1.586686,1.872707,-0.069060
block_start,start,0.60,random_forest,1.424665,1.719096,0.099129
block_start,start,0.70,forward_fill,2.339307,2.657889,-1.111069
block_start,start,0.70,linear_interpolation,0.699069,0.888876,0.763891
block_start,start,0.70,time_interpolation,0.699069,0.888876,0.763891
block_start,start,0.70,cubic_interpolation,1.676155,1.771320,0.062388
block_start,start,0.70,spline_interpolation,2.193331,2.325890,-0.616617
block_start,start,0.70,knn,2.206444,2.707613,-1.190796
block_start,start,0.70,decision_tree,2.083729,2.615003,-1.043494
block_start,start,0.70,random_forest,2.078016,2.313465,-0.599392
block_start,start,0.80,forward_fill,2.661957,3.045617,-1.329673
block_start,start,0.80,linear_interpolation,0.693941,0.937296,0.779353
block_start,start,0.80,time_interpolation,0.693941,0.937296,0.779353
block_start,start,0.80,cubic_interpolation,1.030693,1.223813,0.623838
block_start,start,0.80,spline_interpolation,0.882981,1.102841,0.694529
block_start,start,0.80,knn,2.267883,2.813223,-0.987709
block_start,start,0.80,decision_tree,3.002645,3.566478,-2.194653
