method,mae,scenario,block_position,missing_rate
random_forest,1.535619,block_start,start,0.40
forward_fill,1.825556,block_start,start,0.50
linear_interpolation,0.773673,block_start,start,0.50
time_interpolation,0.773673,block_start,start,0.50
cubic_interpolation,1.121923,block_start,start,0.50
spline_interpolation,1.121923,block_start,start,0.50
knn,2.959162,block_start,start,0.50
decision_tree,1.636991,block_start,start,0.50
random_forest,1.699807,block_start,start,0.50
forward_fill,2.110694,block_start,start,0.60
linear_interpolation,0.915790,block_start,start,0.60
time_interpolation,0.915790,block_start,start,0.60
cubic_interpolation,3.085711,block_start,start,0.60
spline_interpolation,3.085711,block_start,start,0.60
knn,2.471959,block_start,start,0.60
decision_tree,1.586686,block_start,start,0.60
random_forest,1.424665,block_start,start,0.60
forward_fill,2.339307,block_start,start,0.70
linear_interpolation,0.699069,block_start,start,0.70
time_interpolation,0.699069,block_start,start,0.70
cubic_interpolation,2.193331,block_start,start,0.70
spline_interpolation,2.193331,block_start,start,0.70
knn,2.206444,block_start,start,0.70
decision_tree,2.083729,block_start,start,0.70
random_forest,2.078016,block_start,start,0.70
forward_fill,2.661957,block_start,start,0.80
linear_interpolation,0.693941,block_start,start,0.80
time_interpolation,0.693941,block_start,start,0.80
cubic_interpolation,0.882981,block_start,start,0.80
spline_interpolation,0.882981,block_start,start,0.80
knn,2.267883,block_start,start,0.80
decision_tree,3.002645,block_start,start,0.80
random_forest,1.717852,block_start,start,0.80
forward_fill,0.423448,block_middle,middle,0.10
linear_interpolation,0.167356,block_middle,middle,0.10
time_interpolation,0.167356,block_middle,middle,0.10
cubic_interpolation,0.151275,block_middle,middle,0.10
spline_interpolation,0.151275,block_middle,middle,0.10
knn,1.496313,block_middle,middle,0.10
decision_tree,0.108110,block_middle,middle,0.10
random_forest,0.372575,block_middle,middle,0.10
forward_fill,0.338448,block_middle,middle,0.20
linear_interpolation,0.365362,block_middle,middle,0.20
time_interpolation,0.365362,block_middle,middle,0.20
cubic_interpolation,1.021487,block_middle,middle,0.20
spline_interpolation,1.021487,block_middle,middle,0.20
knn,2.435829,block_middle,middle,0.20
decision_tree,0.365115,block_middle,middle,0.20
random_forest,0.615377,block_middle,middle,0.20
forward_fill,0.672326,block_middle,middle,0.30
linear_interpolation,0.255437,block_middle,middle,0.30
