repeat,window_id,seed,scenario,block_position,missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
16,16,126746,block,none,0.40,knn,2.419339,3.138932,-0.156529,403,403
16,16,126746,block,none,0.40,knn_upgraded,2.411778,3.128383,-0.148769,403,403
16,16,126746,block,none,0.40,decision_tree,2.419221,3.138676,-0.156341,403,403
16,16,126746,block,none,0.40,random_forest,2.409770,3.123609,-0.145266,403,403
16,16,126746,block,none,0.40,neural_net,2.424781,3.149805,-0.164555,403,403
16,16,126746,block,none,0.40,adaptive_imputation,2.419339,3.138932,-0.156529,403,403
17,17,134665,block,none,0.40,forward_fill,8.436948,9.054507,-6.402245,403,403
17,17,134665,block,none,0.40,linear_interpolation,2.327956,3.231459,0.057175,403,403
17,17,134665,block,none,0.40,time_interpolation,2.327956,3.231459,0.057175,403,403
17,17,134665,block,none,0.40,cubic_interpolation,10.650890,11.654030,-11.262701,403,403
17,17,134665,block,none,0.40,spline_interpolation,10.650890,11.654030,-11.262701,403,403
17,17,134665,block,none,0.40,moving_average,8.238227,8.899163,-6.150430,403,403
17,17,134665,block,none,0.40,knn,2.327956,3.231459,0.057175,403,403
17,17,134665,block,none,0.40,knn_upgraded,2.337902,3.242141,0.050931,403,403
17,17,134665,block,none,0.40,decision_tree,2.363078,3.282314,0.027266,403,403
17,17,134665,block,none,0.40,random_forest,2.326481,3.231938,0.056895,403,403
17,17,134665,block,none,0.40,neural_net,2.346979,3.252769,0.044699,403,403
17,17,134665,block,none,0.40,adaptive_imputation,2.327956,3.231459,0.057175,403,403
18,18,142584,block,none,0.40,forward_fill,7.336476,8.070020,-4.762616,403,403
18,18,142584,block,none,0.40,linear_interpolation,5.938768,6.902810,-3.216211,403,403
18,18,142584,block,none,0.40,time_interpolation,5.938768,6.902810,-3.216211,403,403
18,18,142584,block,none,0.40,cubic_interpolation,6.620454,8.118181,-4.831603,403,403
18,18,142584,block,none,0.40,spline_interpolation,6.620454,8.118181,-4.831603,403,403
18,18,142584,block,none,0.40,moving_average,7.322022,8.066227,-4.757201,403,403
18,18,142584,block,none,0.40,knn,5.938768,6.902810,-3.216211,403,403
18,18,142584,block,none,0.40,knn_upgraded,5.929696,6.894372,-3.205909,403,403
18,18,142584,block,none,0.40,decision_tree,5.927323,6.890908,-3.201685,403,403
18,18,142584,block,none,0.40,random_forest,5.933418,6.894191,-3.205688,403,403
18,18,142584,block,none,0.40,neural_net,5.943334,6.895806,-3.207659,403,403
18,18,142584,block,none,0.40,adaptive_imputation,5.938768,6.902810,-3.216211,403,403
19,19,150503,block,none,0.40,forward_fill,2.264963,2.720780,-0.754952,403,403
19,19,150503,block,none,0.40,linear_interpolation,1.285392,1.550900,0.429775,403,403
19,19,150503,block,none,0.40,time_interpolation,1.285392,1.550900,0.429775,403,403
19,19,150503,block,none,0.40,cubic_interpolation,4.577461,5.354020,-5.795767,403,403
19,19,150503,block,none,0.40,spline_interpolation,4.577461,5.354020,-5.795767,403,403
19,19,150503,block,none,0.40,moving_average,2.208911,2.680916,-0.703903,403,403
19,19,150503,block,none,0.40,knn,1.285392,1.550900,0.429775,403,403
19,19,150503,block,none,0.40,knn_upgraded,1.296651,1.554243,0.427314,403,403
19,19,150503,block,none,0.40,decision_tree,1.285565,1.550700,0.429922,403,403
19,19,150503,block,none,0.40,random_forest,1.286446,1.551089,0.429636,403,403
19,19,150503,block,none,0.40,neural_net,1.311900,1.571696,0.414381,403,403
19,19,150503,block,none,0.40,adaptive_imputation,1.285392,1.550900,0.429775,403,403
0,0,42,block,none,0.50,forward_fill,8.246746,10.979342,-1.083302,504,504
0,0,42,block,none,0.50,linear_interpolation,5.436198,7.044111,0.142465,504,504
0,0,42,block,none,0.50,time_interpolation,5.436198,7.044111,0.142465,504,504
0,0,42,block,none,0.50,cubic_interpolation,6.017357,7.449170,0.041007,504,504
0,0,42,block,none,0.50,spline_interpolation,6.017357,7.449170,0.041007,504,504
0,0,42,block,none,0.50,moving_average,8.160095,10.944922,-1.070260,504,504
0,0,42,block,none,0.50,knn,5.436198,7.044111,0.142465,504,504
0,0,42,block,none,0.50,knn_upgraded,5.444733,7.045209,0.142197,504,504
0,0,42,block,none,0.50,decision_tree,5.398310,6.936627,0.168435,504,504
0,0,42,block,none,0.50,random_forest,5.420042,6.999359,0.153326,504,504
0,0,42,block,none,0.50,neural_net,5.366374,6.967515,0.161013,504,504
0,0,42,block,none,0.50,adaptive_imputation,5.436198,7.044111,0.142465,504,504
1,1,7961,block,none,0.50,forward_fill,4.111329,5.065040,-0.864259,504,504
1,1,7961,block,none,0.50,linear_interpolation,2.312071,2.688533,0.474743,504,504
1,1,7961,block,none,0.50,time_interpolation,2.312071,2.688533,0.474743,504,504
1,1,7961,block,none,0.50,cubic_interpolation,19.787534,23.309803,-38.483702,504,504
1,1,7961,block,none,0.50,spline_interpolation,19.787534,23.309803,-38.483702,504,504
1,1,7961,block,none,0.50,moving_average,4.027032,4.986772,-0.807090,504,504
1,1,7961,block,none,0.50,knn,2.312071,2.688533,0.474743,504,504
1,1,7961,block,none,0.50,knn_upgraded,2.316817,2.691998,0.473389,504,504
1,1,7961,block,none,0.50,decision_tree,2.287933,2.681759,0.477387,504,504
1,1,7961,block,none,0.50,random_forest,2.317282,2.697396,0.471275,504,504
1,1,7961,block,none,0.50,neural_net,2.313961,2.736116,0.455987,504,504
1,1,7961,block,none,0.50,adaptive_imputation,2.312071,2.688533,0.474743,504,504
2,2,15880,block,none,0.50,forward_fill,1.873095,2.241761,-0.006087,504,504
2,2,15880,block,none,0.50,linear_interpolation,1.845677,2.267496,-0.029319,504,504
2,2,15880,block,none,0.50,time_interpolation,1.845677,2.267496,-0.029319,504,504
2,2,15880,block,none,0.50,cubic_interpolation,12.803748,14.452227,-40.814445,504,504
2,2,15880,block,none,0.50,spline_interpolation,12.803748,14.452227,-40.814445,504,504
2,2,15880,block,none,0.50,moving_average,1.859154,2.236439,-0.001316,504,504
2,2,15880,block,none,0.50,knn,1.845677,2.267496,-0.029319,504,504
2,2,15880,block,none,0.50,knn_upgraded,1.845273,2.273549,-0.034821,504,504
2,2,15880,block,none,0.50,decision_tree,1.846110,2.268154,-0.029916,504,504
2,2,15880,block,none,0.50,random_forest,1.851342,2.279984,-0.040688,504,504
2,2,15880,block,none,0.50,neural_net,1.853946,2.303585,-0.062344,504,504
2,2,15880,block,none,0.50,adaptive_imputation,1.845677,2.267496,-0.029319,504,504
3,3,23799,block,none,0.50,forward_fill,2.527421,2.827937,-0.060717,504,504
3,3,23799,block,none,0.50,linear_interpolation,3.314025,3.727169,-0.842545,504,504
3,3,23799,block,none,0.50,time_interpolation,3.314025,3.727169,-0.842545,504,504
3,3,23799,block,none,0.50,cubic_interpolation,7.881634,9.059552,-9.886126,504,504
3,3,23799,block,none,0.50,spline_interpolation,7.881634,9.059552,-9.886126,504,504
3,3,23799,block,none,0.50,moving_average,2.505458,2.817559,-0.052946,504,504
3,3,23799,block,none,0.50,knn,3.314025,3.727169,-0.842545,504,504
3,3,23799,block,none,0.50,knn_upgraded,3.305947,3.715274,-0.830803,504,504
3,3,23799,block,none,0.50,decision_tree,3.315240,3.728718,-0.844076,504,504
3,3,23799,block,none,0.50,random_forest,3.342322,3.762245,-0.877388,504,504
3,3,23799,block,none,0.50,neural_net,3.321553,3.732109,-0.847432,504,504
3,3,23799,block,none,0.50,adaptive_imputation,3.314025,3.727169,-0.842545,504,504
4,4,31718,block,none,0.50,forward_fill,1.997083,2.630869,-0.048170,504,504
4,4,31718,block,none,0.50,linear_interpolation,2.860695,3.862183,-1.258909,504,504
4,4,31718,block,none,0.50,time_interpolation,2.860695,3.862183,-1.258909,504,504
4,4,31718,block,none,0.50,cubic_interpolation,16.113836,19.215881,-54.918260,504,504
4,4,31718,block,none,0.50,spline_interpolation,16.113836,19.215881,-54.918260,504,504
4,4,31718,block,none,0.50,moving_average,1.966727,2.598659,-0.022661,504,504
4,4,31718,block,none,0.50,knn,2.860695,3.862183,-1.258909,504,504
4,4,31718,block,none,0.50,knn_upgraded,2.812459,3.791390,-1.176857,504,504
4,4,31718,block,none,0.50,decision_tree,2.860672,3.862158,-1.258880,504,504
4,4,31718,block,none,0.50,random_forest,2.868346,3.873695,-1.272396,504,504
4,4,31718,block,none,0.50,neural_net,2.828588,3.802232,-1.189325,504,504
4,4,31718,block,none,0.50,adaptive_imputation,2.860695,3.862183,-1.258909,504,504
5,5,39637,block,none,0.50,forward_fill,5.298254,6.611876,-0.949416,504,504
5,5,39637,block,none,0.50,linear_interpolation,4.864156,6.104561,-0.661744,504,504
5,5,39637,block,none,0.50,time_interpolation,4.864156,6.104561,-0.661744,504,504
5,5,39637,block,none,0.50,cubic_interpolation,23.356918,25.975803,-29.087989,504,504
5,5,39637,block,none,0.50,spline_interpolation,23.356918,25.975803,-29.087989,504,504
5,5,39637,block,none,0.50,moving_average,5.286638,6.610610,-0.948670,504,504
5,5,39637,block,none,0.50,knn,4.864156,6.104561,-0.661744,504,504
5,5,39637,block,none,0.50,knn_upgraded,4.875039,6.123368,-0.671998,504,504
5,5,39637,block,none,0.50,decision_tree,4.884340,6.136254,-0.679043,504,504
5,5,39637,block,none,0.50,random_forest,4.872049,6.118167,-0.669160,504,504
5,5,39637,block,none,0.50,neural_net,4.863099,6.116700,-0.668359,504,504
5,5,39637,block,none,0.50,adaptive_imputation,4.864156,6.104561,-0.661744,504,504
6,6,47556,block,none,0.50,forward_fill,4.074464,5.168786,-0.655813,504,504
6,6,47556,block,none,0.50,linear_interpolation,3.793856,4.746589,-0.396361,504,504
6,6,47556,block,none,0.50,time_interpolation,3.793856,4.746589,-0.396361,504,504
6,6,47556,block,none,0.50,cubic_interpolation,4.627039,5.412608,-0.815714,504,504
6,6,47556,block,none,0.50,spline_interpolation,4.627039,5.412608,-0.815714,504,504
6,6,47556,block,none,0.50,moving_average,4.057915,5.165704,-0.653839,504,504
6,6,47556,block,none,0.50,knn,3.793856,4.746589,-0.396361,504,504
6,6,47556,block,none,0.50,knn_upgraded,3.785375,4.732360,-0.388001,504,504
6,6,47556,block,none,0.50,decision_tree,3.821315,4.794459,-0.424667,504,504
6,6,47556,block,none,0.50,random_forest,3.783817,4.732344,-0.387992,504,504
6,6,47556,block,none,0.50,neural_net,3.783553,4.746748,-0.396454,504,504
6,6,47556,block,none,0.50,adaptive_imputation,4.627039,5.412608,-0.815714,504,504
7,7,55475,block,none,0.50,forward_fill,1.308234,1.625850,-0.085061,504,504
7,7,55475,block,none,0.50,linear_interpolation,1.402372,1.749734,-0.256717,504,504
7,7,55475,block,none,0.50,time_interpolation,1.402372,1.749734,-0.256717,504,504
7,7,55475,block,none,0.50,cubic_interpolation,10.256694,12.398306,-62.098392,504,504
7,7,55475,block,none,0.50,spline_interpolation,10.256694,12.398306,-62.098392,504,504
7,7,55475,block,none,0.50,moving_average,1.301334,1.622196,-0.080190,504,504
7,7,55475,block,none,0.50,knn,1.402372,1.749734,-0.256717,504,504
7,7,55475,block,none,0.50,knn_upgraded,1.406940,1.756190,-0.266009,504,504
7,7,55475,block,none,0.50,decision_tree,1.405306,1.752510,-0.260709,504,504
7,7,55475,block,none,0.50,random_forest,1.409864,1.759796,-0.271213,504,504
7,7,55475,block,none,0.50,neural_net,1.397806,1.751268,-0.258921,504,504
7,7,55475,block,none,0.50,adaptive_imputation,1.402372,1.749734,-0.256717,504,504
8,8,63394,block,none,0.50,forward_fill,10.104266,11.301356,-1.385624,504,504
8,8,63394,block,none,0.50,linear_interpolation,7.101367,8.008061,-0.197831,504,504
8,8,63394,block,none,0.50,time_interpolation,7.101367,8.008061,-0.197831,504,504
8,8,63394,block,none,0.50,cubic_interpolation,3.990141,5.158023,0.503056,504,504
8,8,63394,block,none,0.50,spline_interpolation,3.990141,5.158023,0.503056,504,504
8,8,63394,block,none,0.50,moving_average,10.028113,11.275075,-1.374541,504,504
8,8,63394,block,none,0.50,knn,7.101367,8.008061,-0.197831,504,504
8,8,63394,block,none,0.50,knn_upgraded,7.090523,7.995700,-0.194136,504,504
8,8,63394,block,none,0.50,decision_tree,7.107755,8.020319,-0.201501,504,504
8,8,63394,block,none,0.50,random_forest,7.081433,7.987778,-0.191771,504,504
8,8,63394,block,none,0.50,neural_net,7.002690,7.898187,-0.165187,504,504
8,8,63394,block,none,0.50,adaptive_imputation,7.101367,8.008061,-0.197831,504,504
9,9,71313,block,none,0.50,forward_fill,2.638710,3.381604,-0.060051,504,504
9,9,71313,block,none,0.50,linear_interpolation,2.762798,3.824507,-0.355914,504,504
9,9,71313,block,none,0.50,time_interpolation,2.762798,3.824507,-0.355914,504,504
9,9,71313,block,none,0.50,cubic_interpolation,6.664693,7.458252,-4.156505,504,504
9,9,71313,block,none,0.50,spline_interpolation,6.664693,7.458252,-4.156505,504,504
9,9,71313,block,none,0.50,moving_average,2.576511,3.324998,-0.024859,504,504
9,9,71313,block,none,0.50,knn,2.762798,3.824507,-0.355914,504,504
9,9,71313,block,none,0.50,knn_upgraded,2.769913,3.830525,-0.360185,504,504
9,9,71313,block,none,0.50,decision_tree,2.797269,3.872985,-0.390506,504,504
9,9,71313,block,none,0.50,random_forest,2.747534,3.806634,-0.343271,504,504
9,9,71313,block,none,0.50,neural_net,2.756416,3.825810,-0.356838,504,504
9,9,71313,block,none,0.50,adaptive_imputation,2.762798,3.824507,-0.355914,504,504
10,10,79232,block,none,0.50,forward_fill,4.761528,5.496671,-0.623948,504,504
10,10,79232,block,none,0.50,linear_interpolation,2.482849,3.373228,0.388405,504,504
10,10,79232,block,none,0.50,time_interpolation,2.482849,3.373228,0.388405,504,504
10,10,79232,block,none,0.50,cubic_interpolation,7.519484,8.953616,-3.308929,504,504
10,10,79232,block,none,0.50,spline_interpolation,7.519484,8.953616,-3.308929,504,504
10,10,79232,block,none,0.50,moving_average,4.687591,5.452200,-0.597776,504,504
10,10,79232,block,none,0.50,knn,2.482849,3.373228,0.388405,504,504
10,10,79232,block,none,0.50,knn_upgraded,2.485616,3.375090,0.387730,504,504
10,10,79232,block,none,0.50,decision_tree,2.482779,3.373186,0.388420,504,504
10,10,79232,block,none,0.50,random_forest,2.484717,3.373015,0.388483,504,504
10,10,79232,block,none,0.50,neural_net,2.493582,3.386209,0.383689,504,504
10,10,79232,block,none,0.50,adaptive_imputation,7.519484,8.953616,-3.308929,504,504
11,11,87151,block,none,0.50,forward_fill,7.769563,8.761222,-3.470583,504,504
11,11,87151,block,none,0.50,linear_interpolation,3.657527,4.832889,-0.360343,504,504
11,11,87151,block,none,0.50,time_interpolation,3.657527,4.832889,-0.360343,504,504
11,11,87151,block,none,0.50,cubic_interpolation,39.752659,45.482519,-119.482478,504,504
11,11,87151,block,none,0.50,spline_interpolation,39.752659,45.482519,-119.482478,504,504
11,11,87151,block,none,0.50,moving_average,7.612706,8.624096,-3.331736,504,504
11,11,87151,block,none,0.50,knn,3.657527,4.832889,-0.360343,504,504
11,11,87151,block,none,0.50,knn_upgraded,3.655087,4.807320,-0.345987,504,504
11,11,87151,block,none,0.50,decision_tree,3.661444,4.772802,-0.326727,504,504
11,11,87151,block,none,0.50,random_forest,3.655114,4.792564,-0.337737,504,504
11,11,87151,block,none,0.50,neural_net,3.662280,4.756486,-0.317672,504,504
11,11,87151,block,none,0.50,adaptive_imputation,3.657527,4.832889,-0.360343,504,504
12,12,95070,block,none,0.50,forward_fill,2.758056,3.401183,-1.042828,504,504
12,12,95070,block,none,0.50,linear_interpolation,1.549449,1.896323,0.364967,504,504
12,12,95070,block,none,0.50,time_interpolation,1.549449,1.896323,0.364967,504,504
12,12,95070,block,none,0.50,cubic_interpolation,2.368983,3.062362,-0.656093,504,504
12,12,95070,block,none,0.50,spline_interpolation,2.368983,3.062362,-0.656093,504,504
12,12,95070,block,none,0.50,moving_average,2.689115,3.340646,-0.970755,504,504
12,12,95070,block,none,0.50,knn,1.549449,1.896323,0.364967,504,504
12,12,95070,block,none,0.50,knn_upgraded,1.549267,1.896213,0.365041,504,504
12,12,95070,block,none,0.50,decision_tree,1.544427,1.888503,0.370193,504,504
12,12,95070,block,none,0.50,random_forest,1.551449,1.898459,0.363536,504,504
12,12,95070,block,none,0.50,neural_net,1.552933,1.897734,0.364022,504,504
12,12,95070,block,none,0.50,adaptive_imputation,1.549449,1.896323,0.364967,504,504
13,13,102989,block,none,0.50,forward_fill,4.467837,5.536033,-1.725142,504,504
13,13,102989,block,none,0.50,linear_interpolation,3.161097,4.458935,-0.767885,504,504
13,13,102989,block,none,0.50,time_interpolation,3.161097,4.458935,-0.767885,504,504
13,13,102989,block,none,0.50,cubic_interpolation,4.655923,5.833729,-2.026106,504,504
13,13,102989,block,none,0.50,spline_interpolation,4.655923,5.833729,-2.026106,504,504
13,13,102989,block,none,0.50,moving_average,4.392898,5.488359,-1.678408,504,504
13,13,102989,block,none,0.50,knn,3.161097,4.458935,-0.767885,504,504
13,13,102989,block,none,0.50,knn_upgraded,3.160072,4.457485,-0.766735,504,504
13,13,102989,block,none,0.50,decision_tree,3.161169,4.459328,-0.768196,504,504
13,13,102989,block,none,0.50,random_forest,3.165869,4.465235,-0.772884,504,504
13,13,102989,block,none,0.50,neural_net,3.167272,4.469742,-0.776465,504,504
13,13,102989,block,none,0.50,adaptive_imputation,3.161097,4.458935,-0.767885,504,504
14,14,110908,block,none,0.50,forward_fill,2.843135,3.286612,-2.489062,504,504
14,14,110908,block,none,0.50,linear_interpolation,1.269340,1.833749,-0.086154,504,504
14,14,110908,block,none,0.50,time_interpolation,1.269340,1.833749,-0.086154,504,504
14,14,110908,block,none,0.50,cubic_interpolation,2.044050,2.541716,-1.086727,504,504
14,14,110908,block,none,0.50,spline_interpolation,2.044050,2.541716,-1.086727,504,504
14,14,110908,block,none,0.50,moving_average,2.799231,3.259775,-2.432314,504,504
14,14,110908,block,none,0.50,knn,1.269340,1.833749,-0.086154,504,504
14,14,110908,block,none,0.50,knn_upgraded,1.267760,1.838101,-0.091315,504,504
14,14,110908,block,none,0.50,decision_tree,1.269390,1.833828,-0.086248,504,504
14,14,110908,block,none,0.50,random_forest,1.267927,1.827102,-0.078294,504,504
14,14,110908,block,none,0.50,neural_net,1.275366,1.828019,-0.079376,504,504
14,14,110908,block,none,0.50,adaptive_imputation,1.269340,1.833749,-0.086154,504,504
15,15,118827,block,none,0.50,forward_fill,4.537540,5.347041,-0.112734,504,504
15,15,118827,block,none,0.50,linear_interpolation,4.740422,6.015320,-0.408256,504,504
15,15,118827,block,none,0.50,time_interpolation,4.740422,6.015320,-0.408256,504,504
15,15,118827,block,none,0.50,cubic_interpolation,14.965217,17.930108,-11.512097,504,504
15,15,118827,block,none,0.50,spline_interpolation,14.965217,17.930108,-11.512097,504,504
15,15,118827,block,none,0.50,moving_average,4.447298,5.269761,-0.080802,504,504
15,15,118827,block,none,0.50,knn,4.740422,6.015320,-0.408256,504,504
15,15,118827,block,none,0.50,knn_upgraded,4.758729,6.040478,-0.420061,504,504
15,15,118827,block,none,0.50,decision_tree,4.717894,5.994028,-0.398305,504,504
15,15,118827,block,none,0.50,random_forest,4.714762,5.989096,-0.396004,504,504
15,15,118827,block,none,0.50,neural_net,4.696070,5.992134,-0.397421,504,504
15,15,118827,block,none,0.50,adaptive_imputation,4.740422,6.015320,-0.408256,504,504
16,16,126746,block,none,0.50,forward_fill,1.932520,2.760200,-0.519757,504,504
16,16,126746,block,none,0.50,linear_interpolation,1.932732,2.448789,-0.196178,504,504
16,16,126746,block,none,0.50,time_interpolation,1.932732,2.448789,-0.196178,504,504
16,16,126746,block,none,0.50,cubic_interpolation,1.861369,2.384379,-0.134080,504,504
16,16,126746,block,none,0.50,spline_interpolation,1.861369,2.384379,-0.134080,504,504
16,16,126746,block,none,0.50,moving_average,1.910956,2.751551,-0.510248,504,504
16,16,126746,block,none,0.50,knn,1.932732,2.448789,-0.196178,504,504
16,16,126746,block,none,0.50,knn_upgraded,1.931087,2.445602,-0.193066,504,504
16,16,126746,block,none,0.50,decision_tree,1.932701,2.449006,-0.196390,504,504
16,16,126746,block,none,0.50,random_forest,1.926560,2.446296,-0.193744,504,504
16,16,126746,block,none,0.50,neural_net,1.957295,2.478205,-0.225088,504,504
16,16,126746,block,none,0.50,adaptive_imputation,1.932732,2.448789,-0.196178,504,504
17,17,134665,block,none,0.50,forward_fill,4.114167,4.389364,-0.014816,504,504
17,17,134665,block,none,0.50,linear_interpolation,3.355256,3.802979,0.238216,504,504
17,17,134665,block,none,0.50,time_interpolation,3.355256,3.802979,0.238216,504,504
17,17,134665,block,none,0.50,cubic_interpolation,33.565823,39.083518,-79.458363,504,504
17,17,134665,block,none,0.50,spline_interpolation,33.565823,39.083518,-79.458363,504,504
17,17,134665,block,none,0.50,moving_average,4.080737,4.373934,-0.007693,504,504
17,17,134665,block,none,0.50,knn,3.355256,3.802979,0.238216,504,504
17,17,134665,block,none,0.50,knn_upgraded,3.367786,3.787514,0.244399,504,504
17,17,134665,block,none,0.50,decision_tree,3.345242,3.746847,0.260538,504,504
17,17,134665,block,none,0.50,random_forest,3.357942,3.770947,0.250995,504,504
17,17,134665,block,none,0.50,neural_net,3.447228,3.842601,0.222260,504,504
17,17,134665,block,none,0.50,adaptive_imputation,33.565823,39.083518,-79.458363,504,504
18,18,142584,block,none,0.50,forward_fill,3.435615,4.155690,-1.080254,504,504
18,18,142584,block,none,0.50,linear_interpolation,2.420435,2.828253,0.036466,504,504
18,18,142584,block,none,0.50,time_interpolation,2.420435,2.828253,0.036466,504,504
18,18,142584,block,none,0.50,cubic_interpolation,25.114075,28.031029,-93.647321,504,504
18,18,142584,block,none,0.50,spline_interpolation,25.114075,28.031029,-93.647321,504,504
18,18,142584,block,none,0.50,moving_average,3.367421,4.071828,-0.997143,504,504
18,18,142584,block,none,0.50,knn,2.420435,2.828253,0.036466,504,504
18,18,142584,block,none,0.50,knn_upgraded,2.423909,2.840107,0.028373,504,504
18,18,142584,block,none,0.50,decision_tree,2.460466,2.906446,-0.017548,504,504
18,18,142584,block,none,0.50,random_forest,2.414919,2.838865,0.029223,504,504
18,18,142584,block,none,0.50,neural_net,2.456088,2.903264,-0.015321,504,504
18,18,142584,block,none,0.50,adaptive_imputation,2.420435,2.828253,0.036466,504,504
19,19,150503,block,none,0.50,forward_fill,1.550972,1.949158,-0.056359,504,504
19,19,150503,block,none,0.50,linear_interpolation,1.532377,1.984548,-0.095067,504,504
19,19,150503,block,none,0.50,time_interpolation,1.532377,1.984548,-0.095067,504,504
19,19,150503,block,none,0.50,cubic_interpolation,5.527352,6.600944,-11.115168,504,504
19,19,150503,block,none,0.50,spline_interpolation,5.527353,6.600945,-11.115172,504,504
19,19,150503,block,none,0.50,moving_average,1.542022,1.946936,-0.053952,504,504
19,19,150503,block,none,0.50,knn,1.532377,1.984548,-0.095067,504,504
19,19,150503,block,none,0.50,knn_upgraded,1.554630,2.014670,-0.128562,504,504
19,19,150503,block,none,0.50,decision_tree,1.529722,1.981509,-0.091716,504,504
19,19,150503,block,none,0.50,random_forest,1.530990,1.983555,-0.093971,504,504
19,19,150503,block,none,0.50,neural_net,1.573978,2.029853,-0.145636,504,504
19,19,150503,block,none,0.50,adaptive_imputation,1.532377,1.984548,-0.095067,504,504
0,0,42,block,none,0.60,forward_fill,6.704380,9.176970,-0.537949,605,605
0,0,42,block,none,0.60,linear_interpolation,5.349944,6.872005,0.137597,605,605
0,0,42,block,none,0.60,time_interpolation,5.349944,6.872005,0.137597,605,605
0,0,42,block,none,0.60,cubic_interpolation,12.831637,15.864213,-3.596002,605,605
0,0,42,block,none,0.60,spline_interpolation,12.831637,15.864213,-3.596002,605,605
0,0,42,block,none,0.60,moving_average,6.664134,9.163444,-0.533418,605,605
0,0,42,block,none,0.60,knn,5.349944,6.872005,0.137597,605,605
0,0,42,block,none,0.60,knn_upgraded,5.349565,6.888749,0.133390,605,605
0,0,42,block,none,0.60,decision_tree,5.360127,6.970987,0.112575,605,605
0,0,42,block,none,0.60,random_forest,5.314644,6.854278,0.142041,605,605
0,0,42,block,none,0.60,neural_net,5.173044,6.756124,0.166437,605,605
0,0,42,block,none,0.60,adaptive_imputation,5.349944,6.872005,0.137597,605,605
1,1,7961,block,none,0.60,forward_fill,2.591603,3.386187,-0.357058,605,605
1,1,7961,block,none,0.60,linear_interpolation,3.465603,4.248279,-1.136007,605,605
1,1,7961,block,none,0.60,time_interpolation,3.465603,4.248279,-1.136007,605,605
1,1,7961,block,none,0.60,cubic_interpolation,17.205320,20.331841,-47.924923,605,605
1,1,7961,block,none,0.60,spline_interpolation,17.205320,20.331841,-47.924923,605,605
1,1,7961,block,none,0.60,moving_average,2.507475,3.264460,-0.261245,605,605
1,1,7961,block,none,0.60,knn,3.465603,4.248279,-1.136007,605,605
1,1,7961,block,none,0.60,knn_upgraded,3.472302,4.254840,-1.142610,605,605
1,1,7961,block,none,0.60,decision_tree,3.476732,4.255112,-1.142884,605,605
1,1,7961,block,none,0.60,random_forest,3.501110,4.288388,-1.176531,605,605
1,1,7961,block,none,0.60,neural_net,3.586214,4.381899,-1.272487,605,605
1,1,7961,block,none,0.60,adaptive_imputation,3.465603,4.248279,-1.136007,605,605
2,2,15880,block,none,0.60,forward_fill,4.519355,4.914824,-4.530109,605,605
2,2,15880,block,none,0.60,linear_interpolation,2.736831,3.290543,-1.478866,605,605
2,2,15880,block,none,0.60,time_interpolation,2.736831,3.290543,-1.478866,605,605
2,2,15880,block,none,0.60,cubic_interpolation,20.811132,23.635036,-126.888164,605,605
2,2,15880,block,none,0.60,spline_interpolation,20.822803,23.645889,-127.005646,605,605
2,2,15880,block,none,0.60,moving_average,4.489387,4.902989,-4.503510,605,605
2,2,15880,block,none,0.60,knn,2.736831,3.290543,-1.478866,605,605
2,2,15880,block,none,0.60,knn_upgraded,2.772867,3.327053,-1.534179,605,605
2,2,15880,block,none,0.60,decision_tree,2.882235,3.432384,-1.697178,605,605
2,2,15880,block,none,0.60,random_forest,2.795766,3.351452,-1.571484,605,605
2,2,15880,block,none,0.60,neural_net,2.763972,3.323440,-1.528679,605,605
2,2,15880,block,none,0.60,adaptive_imputation,2.736831,3.290543,-1.478866,605,605
3,3,23799,block,none,0.60,forward_fill,8.164777,9.060748,-3.105202,605,605
3,3,23799,block,none,0.60,linear_interpolation,3.055593,3.958005,0.216644,605,605
3,3,23799,block,none,0.60,time_interpolation,3.055593,3.958005,0.216644,605,605
3,3,23799,block,none,0.60,cubic_interpolation,8.998336,11.286456,-5.369739,605,605
3,3,23799,block,none,0.60,spline_interpolation,8.998336,11.286456,-5.369739,605,605
3,3,23799,block,none,0.60,moving_average,8.058085,8.992677,-3.043751,605,605
3,3,23799,block,none,0.60,knn,3.055593,3.958005,0.216644,605,605
3,3,23799,block,none,0.60,knn_upgraded,3.048242,3.944992,0.221787,605,605
3,3,23799,block,none,0.60,decision_tree,3.008436,3.904074,0.237846,605,605
3,3,23799,block,none,0.60,random_forest,3.052443,3.956635,0.217186,605,605
3,3,23799,block,none,0.60,neural_net,3.098868,3.994943,0.201955,605,605
3,3,23799,block,none,0.60,adaptive_imputation,8.164777,9.060748,-3.105202,605,605
4,4,31718,block,none,0.60,forward_fill,2.785603,3.592412,-0.301586,605,605
4,4,31718,block,none,0.60,linear_interpolation,2.681457,3.413636,-0.175262,605,605
4,4,31718,block,none,0.60,time_interpolation,2.681457,3.413636,-0.175262,605,605
4,4,31718,block,none,0.60,cubic_interpolation,50.081721,59.016597,-350.276229,605,605
4,4,31718,block,none,0.60,spline_interpolation,50.963570,60.047095,-362.650699,605,605
4,4,31718,block,none,0.60,moving_average,2.801713,3.602528,-0.308927,605,605
4,4,31718,block,none,0.60,knn,2.681457,3.413636,-0.175262,605,605
